timestamp,meter_id,voltage,current,power,kwh,energy_kwh_cum,power_factor,pattern,energy_kwh,kwh_denoised,rolling_avg_power,deviation_from_normal,loss,anomaly_score,risk_level,prediction,risk_score,explanation,alert
2026-02-01 10:55:56,MTR-002,236.29,235.06,55.542327400000005,19052.928,10.585,272.2464,theft,10.585,9531.7565,14702.3416915625,-577.5051981844547,,-0.028015251394228335,,-1,0.8,Consumption 0% of rolling average (55.5kW < 14702.3kW),True
2026-02-01 10:55:58,MTR-002,236.29,229.86,54.3136194,19053.107,10.5851,282.8314,theft,10.5851,10182.72480379456,9867.125661852502,-578.7339061844547,,-0.025889229513176404,,-1,0.8,Consumption 1% of rolling average (54.3kW < 9867.1kW),True
2026-02-01 10:56:00,MTR-002,236.29,231.78,54.7672962,19053.06,10.585,293.4165,theft,10.585,10182.72480379456,4994.4668693075,-578.2802293844546,,-0.020496333609609563,,-1,0.8,Consumption 1% of rolling average (54.8kW < 4994.5kW),True
2026-01-31 19:59:15,MTR-002,225.96,86082.769,19451.26248324,10.585,124.056,0.98,fault,124.056,10.585,13135.7891210425,18818.214957655546,,-0.0018379926367791954,,-1,0.7,Power spike detected: 19451.3kW (z-score: 5.72),True
2026-01-31 19:59:13,MTR-002,228.83,86578.138,19811.675318540005,10.585,113.4709,0.962,fault,113.4709,7.9236,8662.486751367502,19178.62779295555,,-0.03241350332870552,,-1,0.7,Power spike detected: 19811.7kW (z-score: 5.83),True
2026-01-31 19:59:33,MTR-002,234.66,81780.858,19190.696138279996,10.585,219.3215,0.993,fault,219.3215,10.585,19976.136730592498,18557.648612695542,,-0.005753115179570223,,-1,0.7,Power spike detected: 19190.7kW (z-score: 5.64),True
2026-01-31 19:59:41,MTR-002,236.29,83851.387,19813.244234230002,10.585,261.6616,0.962,fault,261.6616,10.585,19644.702203777502,19180.196708645548,,-0.006720482527521332,,-1,0.7,Power spike detected: 19813.2kW (z-score: 5.83),True
2026-01-31 19:59:09,MTR-002,225.49,15590.839,3515.57828611,1.9355,97.6237,0.991,anomaly,97.6237,1.3867,1449.1605525075001,2882.5307605255457,,-0.04208648147462357,,-1,0.5,AI detected anomaly (score: -0.042),True
2026-01-31 19:59:11,MTR-002,229.96,42462.343,9764.64039628,5.2622,102.8859,0.97,anomaly,102.8859,3.59885,3830.4050948275,9131.592870695546,,-0.044898928259031856,,-1,0.5,AI detected anomaly (score: -0.045),True
2026-01-31 19:59:01,MTR-003,237.65,37.047,8.80421955,0.0048,72.6048,0.981,fault,72.6048,3.4024,24.7993023875,-40.80859607606285,,0.011721977467162636,,1,0.4,Power spike detected: 8.8kW (z-score: -3.98),True
2026-01-31 19:59:03,MTR-003,227.01,14.665,3.3291016499999997,0.0018,72.6066,0.948,fault,72.6066,0.0033,18.0457353,-46.28371397606285,,0.09667360112045098,,1,0.4,Power spike detected: 3.3kW (z-score: -4.52),True
2026-01-31 19:59:05,MTR-003,235.02,7.681,1.80518862,0.001,72.6075,0.98,fault,72.6075,0.0014,10.944882455,-47.807627006062845,,0.13186510748890468,,1,0.4,Power spike detected: 1.8kW (z-score: -4.66),True
